Google service,Service description,Service ID,SKU ID,SKU description,Consumption model description,Product taxonomy,Unit description,Per unit quantity,Tiered usage start,List price (€),
GCP,Gemini API,AEFD-7695-64FA,07D6-73CA-C859,Generate_content cached text input token count for gemini 3 flash,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 3 Flash > Text Caching > Input,count,1000000,0,0.042752499,
GCP,Gemini API,AEFD-7695-64FA,A44E-F89C-67C0,Gemini 3.1 Flash Image Image Input - Predictions,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 3.1 Flash Image > Image > Input,count,1000000,0,0.427524999,
GCP,Gemini API,AEFD-7695-64FA,79EE-4DC9-1607,Gemini 3.1 Flash Image Text Input - Predictions,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 3.1 Flash Image > Text > Input,count,1000000,0,0.427524999,
GCP,Gemini API,AEFD-7695-64FA,1918-CC56-A445,Generate_content image input token count for gemini 3 flash,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 3 Flash > Image > Input,count,1000000,0,0.427524999,
GCP,Gemini API,AEFD-7695-64FA,F2C1-F842-5D84,Generate_content text input token count for gemini 3 flash,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 3 Flash > Text > Input,count,1000000,0,0.427524999,
GCP,Gemini API,AEFD-7695-64FA,1BD4-2AB9-AEFB,Gemini 3.1 Flash Image Image Output - Predictions,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 3.1 Flash Image > Image > Output,count,1000000,0,51.302999999,
GCP,Gemini API,AEFD-7695-64FA,CE23-3061-A132,Gemini 3.1 Flash Image Text Output - Predictions,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 3.1 Flash Image > Text > Output,count,1000000,0,2.565149999,
GCP,Gemini API,AEFD-7695-64FA,ACA6-865B-F153,Generate_content text output token count for gemini 3 flash,Default,GCP > ML Developer > AI Studio > 1P Foundational Models > Gemini 3 Flash > Text > Output,count,1000000,0,2.565149999,
GCP,Gemini API,AEFD-7695-64FA,7166-DCCD-7D46,Generate content search query gemini 3 free,Default,GCP > ML Developer > AI Studio > Developer Platform > Grounding > Search Grounding > Generate_content_search_query,count,1000,0,0.00,
GCP,Cloud Logging,5490-F7B7-8DF6,143F-A1B0-E0BE,Log Storage cost,Default,GCP > Ops Tools > Cloud Logging > Logs,gibibyte,1,0,0.00,
GCP,Cloud Logging,5490-F7B7-8DF6,143F-A1B0-E0BE,Log Storage cost,Default,GCP > Ops Tools > Cloud Logging > Logs,gibibyte,1,50,0.427524999,
